route_id,agency_id,route_short_name,route_long_name,route_type,route_url
1276000000425,276,,Pågatågen,106,
1276000000426,276,,Pågatågen,106,
1276000000427,276,,Pågatågen,106,
1276000000428,276,,Pågatågen,106,
1276000000429,276,,Pågatågen,106,
1276000000430,276,,Pågatågen,106,
1276000000431,276,,Pågatågen,106,
1276000000432,276,,Pågatågen,106,
1276000000433,276,,Pågatågen,106,
1276000000434,276,,Pågatågen,106,
1276000000435,276,,Pågatågen,106,
1276000000436,276,,Pågatågen,106,
1276000000437,276,,Pågatågen,106,
1276000000438,276,,Pågatågen,106,
1276000000439,276,,Pågatågen,106,
1276000000440,276,,Pågatågen,106,
1276000000441,276,,Pågatågen,106,
1276000000451,276,,Pågatågen,106,
1276000000452,276,,Pågatågen,106,
1276000000453,276,,Pågatågen,106,
1276000000454,276,,Pågatågen,106,
1276000000455,276,,Pågatågen,106,
1276000000456,276,,Pågatågen,106,
1276000000457,276,,Pågatågen,106,
1276000000458,276,,Pågatågen,106,
1276000000459,276,,Pågatågen,106,
1276000000460,276,,Pågatågen,106,
1276000000461,276,,Pågatågen,106,
1276000000462,276,,Pågatågen,106,
1276000000463,276,,Pågatågen,106,
1276000000464,276,,Pågatågen,106,
1276000000465,276,,Pågatågen,106,
1276000000466,276,,Pågatågen,106,
1276000000467,276,,Pågatågen,106,
1276000000468,276,,Pågatågen,106,
1276000000469,276,,Pågatågen,106,
1276000000470,276,,Pågatågen,106,
1276000000471,276,,Pågatågen,106,
1276000000472,276,,Pågatågen,106,
1276000000473,276,,Pågatågen,106,
1276000000474,276,,Pågatågen,106,
1276000000475,276,,Pågatågen,106,
1276000000476,276,,Pågatågen,106,
1276000000477,276,,Pågatågen,106,
1276000000478,276,,Pågatågen,106,
1276000000479,276,,Pågatågen,106,
1276000000480,276,,Pågatågen,106,
1276000000481,276,,Pågatågen,106,
1276000000482,276,,Pågatågen,106,
1276000000483,276,,Pågatågen,106,
1276000000484,276,,Pågatågen,106,
1276000000485,276,,Pågatågen,106,
1276000000486,276,,Pågatågen,106,
1276000000487,276,,Pågatågen,106,
1276000000488,276,,Pågatågen,106,
1276000000489,276,,Pågatågen,106,
1276000000490,276,,Pågatågen,106,
1276000000491,276,,Pågatågen,106,
1276000000492,276,,Pågatågen,106,
1276000000493,276,,Pågatågen,106,
1276000000494,276,,Pågatågen,106,
1276000000495,276,,Pågatågen,106,
1276000000496,276,,Pågatågen,106,
1276000000497,276,,Pågatågen,106,
1276000000498,276,,Pågatågen,106,
1276000000499,276,,Pågatågen,106,
1276000000500,276,,Pågatågen,106,
1276000000501,276,,Pågatågen,106,
1276000000502,276,,Pågatågen,106,
1276000000503,276,,Pågatågen,106,
1276000000504,276,,Pågatågen,106,
1276000000505,276,,Pågatågen,106,
1276000000506,276,,Pågatågen,106,
1276000000507,276,,Pågatågen,106,
1276000000508,276,,Pågatågen,106,
1276000000509,276,,Pågatågen,106,
1276000000510,276,,Pågatågen,106,
1276000000511,276,,Pågatågen,106,
1276000000512,276,,Pågatågen,106,
1276000000513,276,,Pågatågen,106,
1276000000514,276,,Pågatågen,106,
1276000000515,276,,Pågatågen,106,
1276000000516,276,,Pågatågen,106,
1276000000517,276,,Pågatågen,106,
1276000000518,276,,Pågatågen,106,
1276000000519,276,,Pågatågen,106,
1276000000520,276,,Pågatågen,106,
1276000000521,276,,Pågatågen,106,
1276000000522,276,,Pågatågen,106,
1276000000523,276,,Pågatågen,106,
1276000000524,276,,Pågatågen,106,
1276000000525,276,,Pågatågen,106,
1276000000526,276,,Pågatågen,106,
1276000000527,276,,Pågatågen,106,
1276000000528,276,,Pågatågen,106,
1276000000529,276,,Pågatågen,106,
1276000000530,276,,Pågatågen,106,
1276000000531,276,,Pågatågen,106,
1276000000532,276,,Pågatågen,106,
1276000000533,276,,Pågatågen,106,
1276000000534,276,,Pågatågen,106,
1276000000535,276,,Pågatågen,106,
1276000000536,276,,Pågatågen,106,
1276000000537,276,,Pågatågen,106,
1276000000538,276,,Pågatågen,106,
1276000000539,276,,Pågatågen,106,
1276000000540,276,,Pågatågen,106,
1276000000541,276,,Pågatågen,106,
1276000000542,276,,Pågatågen,106,
1276000000543,276,,Pågatågen,106,
1276000000544,276,,Pågatågen,106,
1276000000545,276,,Pågatågen,106,
1276000000546,276,,Pågatågen,106,
1276000000547,276,,Pågatågen,106,
1276000000548,276,,Pågatågen,106,
1276000000549,276,,Pågatågen,106,
1276000000550,276,,Pågatågen,106,
1276000000551,276,,Pågatågen,106,
1276000000552,276,,Pågatågen,106,
1276000000553,276,,Pågatågen,106,
1276000000554,276,,Pågatågen,106,
1276000000555,276,,Pågatågen,106,
1276000000556,276,,Pågatågen,106,
1276000000557,276,,Pågatågen,106,
1276000000558,276,,Pågatågen,106,
1276000000559,276,,Pågatågen,106,
1276000000560,276,,Pågatågen,106,
1276000000561,276,,Pågatågen,106,
1276000000562,276,,Pågatågen,106,
1276000000563,276,,Pågatågen,106,
1276000000564,276,,Pågatågen,106,
1276000000565,276,,Pågatågen,106,
1276000000566,276,,Pågatågen,106,
1276000000567,276,,Pågatågen,106,
1276000000568,276,,Pågatågen,106,
1276000000569,276,,Pågatågen,106,
1276000000570,276,,Pågatågen,106,
1276000000571,276,,Pågatågen,106,
1276000000572,276,,Pågatågen,106,
1276000000573,276,,Pågatågen,106,
1276000000574,276,,Pågatågen,106,
1276000000575,276,,Pågatågen,106,
1276000000576,276,,Pågatågen,106,
1276000000577,276,,Pågatågen,106,
1276000000578,276,,Pågatågen,106,
1276000000579,276,,Pågatågen,106,
1276000000580,276,,Pågatågen,106,
1276000000581,276,,Pågatågen,106,
1276000000582,276,,Pågatågen,106,
1276000000583,276,,Pågatågen,106,
1276000000584,276,,Pågatågen,106,
1276000000585,276,,Pågatågen,106,
1276000000586,276,,Pågatågen,106,
1276000000587,276,,Pågatågen,106,
1276000000588,276,,Pågatågen,106,
1276000000589,276,,Pågatågen,106,
1276000000590,276,,Pågatågen,106,
1276000000591,276,,Pågatågen,106,
1276000000592,276,,Pågatågen,106,
1276000000593,276,,Pågatågen,106,
1276000000594,276,,Pågatågen,106,
1276000000595,276,,Pågatågen,106,
1276000000596,276,,Pågatågen,106,
1276000000597,276,,Pågatågen,106,
1276000000598,276,,Pågatågen,106,
1276000000599,276,,Pågatågen,106,
1276000000600,276,,Pågatågen,106,
1276000000601,276,,Pågatågen,106,
1276000000602,276,,Pågatågen,106,
1276000000603,276,,Pågatågen,106,
1276000000604,276,,Pågatågen,106,
1276000000605,276,,Pågatågen,106,
1276000000606,276,,Pågatågen,106,
1276000000607,276,,Pågatågen,106,
1276000000608,276,,Pågatågen,106,
1276000000609,276,,Pågatågen,106,
1276000000610,276,,Pågatågen,106,
1276000000638,276,,Pågatågen,106,
1276000000639,276,,Pågatågen,106,
1276000000640,276,,Pågatågen,106,
1276000000641,276,,Pågatågen,106,
1276000000642,276,,Pågatågen,106,
1276000000643,276,,Pågatågen,106,
1276000000644,276,,Pågatågen,106,
1276000000645,276,,Pågatågen,106,
1276000000646,276,,Pågatågen,106,
1276000000647,276,,Pågatågen,106,
1276000000648,276,,Pågatågen,106,
