route_id,technical_route_number
1074018800003,188
1074018900001,189
1074018900002,189
1074018900003,189
1074019000001,190
1074019000002,190
1074019100001,191
1074019100002,191
1074019200001,192
1074019300001,193
1074019300002,193
1074019500001,195
1074019500002,195
1074019600001,196
1074025600001,256
1074025700001,257
1074025900001,259
1074026000001,260
1074026100001,261
1074026200001,262
1074026300001,263
1074026400001,264
1074026500001,265
1074026600001,266
1074026700001,267
1074026800001,268
1074026900001,269
1074027000001,270
1074027100001,271
1074027200001,272
1074027300001,273
1074027400001,274
1074027500001,275
1074027700001,277
1074027800001,278
1074027900001,279
1074028000001,280
1074028100001,281
1074028200001,282
1074028300001,283
1074028400001,284
1074028500001,285
1074028600001,286
1074028700001,287
1074028800001,288
1074029300001,293
1074031900001,319
1074032200001,322
1074032300001,323
1074032700001,327
1074032800001,328
1074033100001,331
1074033200001,332
1074033600001,336
1074033900001,339
1074034300001,343
1074034400001,344
1074034500001,345
1074034600001,346
1074034800001,348
1074035000001,350
1074035000002,350
1074035100001,351
1074035100002,351
1074035200001,352
1074035200002,352
1074035500001,355
1074035500002,355
1074035600001,356
1074035600002,356
1074035900001,359
1074035900002,359
1074036000001,360
1074036000002,360
1074036300001,363
1074036300002,363
1074036400001,364
1074036400002,364
1074036700001,367
1074036700002,367
1074036800001,368
1074036800002,368
1074037100001,371
1074037100002,371
1074037200001,372
1074037200002,372
1074037500001,375
1074037500002,375
1074037600001,376
1074037600002,376
1074037900001,379
1074037900002,379
1074040200001,402
1074040500001,405
1074041900001,419
1074042000001,420
1074042100001,421
1074042200001,422
1074042300001,423
1074042400001,424
1074042500001,425
1074042600001,426
1074042700001,427
1074042800001,428
1074042900001,429
1074043000001,430
1074043100001,431
1074043200001,432
1074043300001,433
1074043400001,434
1074043500001,435
1074043600001,436
1074043700001,437
1074043800001,438
1074043900001,439
1074044000001,440
1074044100001,441
1074044200001,442
1074044300001,443
1074044400001,444
1074044500001,445
1074044600001,446
1074044700001,447
1074044800001,448
1074044900001,449
1074045000001,450
1074045100001,451
1074045200001,452
1074045300001,453
1074046200001,462
1074046700001,467
1074048100001,481
1074048200001,482
1074048300001,483
1074048300002,483
1074048500001,485
1074048500002,485
1074048600001,486
1074048600002,486
1074048700001,487
1074048800001,488
1074048800002,488
1074049000001,490
1074049000002,490
1074049100001,491
1074049100002,491
1074049200001,492
1074049200002,492
1074049300001,493
1074049300002,493
1074049400001,494
1074049400002,494
1074049400003,494
1074049500001,495
1074049500002,495
1074050500001,505
1074050600001,506
1074051000001,510
1074051100001,511
1074051700001,517
1074051900001,519
1074051900002,519
1074052000001,520
1074052100001,521
1074052100002,521
1074052100003,521
1074052200001,522
1074052300001,523
1074052300002,523
1074052400001,524
1074052500001,525
1074052500002,525
1074052500003,525
1074052600001,526
1074052600002,526
1074052600003,526
1074052700001,527
1074052700002,527
1074052700003,527
1074052800001,528
1074052800002,528
1074052800003,528
1074052900001,529
1074052900002,529
1074053000001,530
1074053000002,530
1074053100001,531
1074053100002,531
1074053100003,531
1074053200001,532
1074053200002,532
1074053300001,533
1074053300002,533
1074053300003,533
1074053400001,534
1074053400002,534
1074053400003,534
1074053500001,535
1074053500002,535
1074053600001,536
1074053600002,536
1074053600003,536
1074053700001,537
1074053700002,537
1074053700003,537
1074053800001,538
1074053800002,538
1074053800003,538
1074053900001,539
1074053900002,539
1074053900003,539
1074054000001,540
1074054000002,540
1074054000003,540
1074054100001,541
1074054100002,541
1074054100003,541
1074054200001,542
1074054200002,542
1074054300001,543
1074054400001,544
1074054400002,544
1074054400003,544
1074054500001,545
1074054500002,545
1074054600001,546
1074054600002,546
1074054600003,546
1074054700001,547
1074054800001,548
1074054900001,549
1074054900002,549
1074055000001,550
1074055000002,550
1074055100001,551
1074055200001,552
1074055400001,554
1074055400002,554
1074056000001,560
1074056100001,561
1074056200001,562
1074056300001,563
1074056400001,564
1074056500001,565
1074056600001,566
1074056700001,567
1074056800001,568
1074056900001,569
1074057000001,570
1074057100001,571
1074057200001,572
1074057300001,573
1074057500001,575
1074057600001,576
1074057700001,577
1074057800001,578
1074057900001,579
1074058000001,580
1074058200001,582
1074058300001,583
1074058400001,584
1074058500001,585
1074058700001,587
1074058800001,588
1074058900001,589
1074059000001,590
1074059100001,591
1074059500001,595
1074059700001,597
1074059800001,598
1074059900001,599
1074060100001,601
1074060100002,601
1074060100003,601
1074060400001,604
1074060400002,604
1074060400003,604
1074060500001,605
1074060500002,605
1074060600001,606
1074060600002,606
1074060700001,607
1074060700002,607
1074060800001,608
1074060800002,608
1074062000001,620
1074062100001,621
1074062100002,621
1074062200001,622
1074062200002,622
1074062200003,622
1074062200004,622
1074062300001,623
1074062300002,623
1074062600001,626
1074062600002,626
1074062600003,626
1074062700001,627
1074062700002,627
1074062900001,629
1074062900002,629
1074062900003,629
1074063000001,630
1074063000002,630
1074063400001,634
1074063400002,634
1074063500001,635
1074063500002,635
1074063800001,638
1074063800002,638
1074063800003,638
1074063900001,639
1074063900002,639
1074063900003,639
1074064200001,642
1074064200002,642
1074064300001,643
1074064300002,643
1074064400001,644
1074064400002,644
1074064500001,645
1074064700001,647
1074064800001,648
1074064800002,648
1074070100001,701
1074070600001,706
1074077800001,778
1074077900001,779
1074078000001,780
1074078200001,782
1074078300001,783
1074078500001,785
1074078500002,785
1074078600001,786
1074078700001,787
1074078800001,788
1074078900001,789
1074079000001,790
1074079100001,791
1074079200001,792
1074079200002,792
1074079400001,794
1074079500001,795
1074079600001,796
1074079700001,797
1074079900001,799
1074080600001,806
1074081000001,810
1074081300001,813
1074081400001,814
1074081700001,817
1074081800001,818
1074082100001,821
1074082200001,822
1074082500001,825
1074082600001,826
1074082900001,829
1074083000001,830
1074083300001,833
1074083400001,834
1074083700001,837
1074083800001,838
1074084100001,841
1074084200001,842
1074084500001,845
1074084600001,846
1074084900001,849
1074085000001,850
1074085300001,853
1074085400001,854
1074085700001,857
1074085800001,858
1074086100001,861
1074086200001,862
1074086500001,865
1074086600001,866
1074086900001,869
1074087000001,870
1074087300001,873
1074087400001,874
1074087700001,877
1074115600001,1156
1074115800001,1158
1074116000001,1160
1074116100001,1161
1074116200001,1162
1074116300001,1163
1074116400001,1164
1074116500001,1165
1074116600001,1166
1074116700001,1167
1074116800001,1168
1074116900001,1169
1074117000001,1170
1074117100001,1171
1074117200001,1172
1074117300001,1173
1074117400001,1174
1074117500001,1175
1074117600001,1176
1074117700001,1177
1074117800001,1178
1074117900001,1179
1074118000001,1180
1074118100001,1181
1074118200001,1182
1074118300001,1183
1074118400001,1184
1074118500001,1185
1074118600001,1186
1074118700001,1187
1074118800001,1188
1074118900001,1189
1074119000001,1190
1074119100001,1191
1074119300001,1193
1074119500001,1195
1074160500001,1605
1074162100001,1621
1074162600001,1626
1074162900001,1629
1074163000001,1630
1074163800001,1638
1074164500001,1645
1074164800001,1648
1074178500001,1785
1074179200001,1792
1074215900001,2159
1074216300001,2163
1074216700001,2167
1074217100001,2171
1074217500001,2175
1074217900001,2179
1074218300001,2183
1074340100001,3401
1074340200001,3402
1074900000001,9000
1074900000002,9000
1074900000003,9000
1074900000004,9000
1074900000005,9000
1074900000006,9000
1074900000007,9000
1074900000008,9000
1074900000009,9000
1074900000010,9000
1074900000011,9000
1074900000012,9000
1076000200001,2
1076000200002,2
1076000200003,2
1076000200004,2
1076000200005,2
1076000200006,2
1076000200007,2
1076000200008,2
1076000200009,2
1076000200010,2
1076000200011,2
1076000200012,2
1076000200013,2
1076000200014,2
1076000200015,2
1076000200016,2
1076000200017,2
1076000200018,2
1076000200019,2
1076000200020,2
1076000200021,2
1076000200022,2
1076000200023,2
1076000200024,2
1076000200025,2
1076000200026,2
1076000200027,2
1076000200028,2
1076000200029,2
1076000200030,2
1076000200031,2
1076000200032,2
1076000200033,2
1076000200034,2
1076000200035,2
1076000200036,2
1076000200037,2
1076000200038,2
1076000200039,2
1076000200040,2
1076000200041,2
1076000200042,2
1076000200043,2
1076000200044,2
1076000200045,2
1076092000001,920
1076092000002,920
1076092000003,920
1076092000004,920
1076092000005,920
1076092000006,920
1076092000007,920
1076092000008,920
1076092000009,920
1076092000010,920
1076092000011,920
1076092000012,920
1076092000013,920
1076092000014,920
1076092000015,920
1076092000016,920
1076092000017,920
1221084200001,842
1221085100001,851
1248019900001,199
1251000100001,1
1251000200001,2
1251000300001,3
1251000400001,4
1251000500001,5
1251000600001,6
1251000700001,7
1251000800001,8
1251000900001,9
1251001000001,10
1251001100001,11
1251001200001,12
1251001300001,13
1251001400001,14
1251002100001,21
1251002200001,22
1251002300001,23
1251003000001,30
1251003100001,31
1251003400001,34
1251008200001,82
1251008800001,88
1251010000001,100
1251010100001,101
1251010200001,102
1251010300001,103
1251010400001,104
1251010500001,105
1251010600001,106
1251010700001,107
1251010800001,108
1251010900001,109
1251011000001,110
1251011100001,111
1251011500001,115
1251011600001,116
1251011700001,117
1251011800001,118
1251011900001,119
1251012500001,125
1251013400001,134
1251013900001,139
1251014600001,146
1251014700001,147
1251018000001,180
1251018100001,181
1251018300001,183
1251018400001,184
1251018500001,185
1251018600001,186
1251018800001,188
1251019900001,199
1251022100001,221
1251022300001,223
1251022400001,224
1251022500001,225
1251022600001,226
1251030100001,301
1251030200001,302
1251030300001,303
1251030500001,305
1251031000001,310
1251031100001,311
1251041300001,413
1251041800001,418
1251041900001,419
1251050100001,501
1251050200001,502
1251050200002,502
1251050200003,502
1251050300001,503
1251050400001,504
1251050400002,504
1251050400003,504
1251051000001,510
1251051100001,511
1251051300001,513
1251051400001,514
1251051500001,515
1251051600001,516
1251051700001,517
1251051800001,518
1251052400001,524
1251060800001,608
1251075100001,751
1251075200001,752
1251075300001,753
1251077200001,772
1251077300001,773
1251077400001,774
1251077500001,775
1251080100001,801
1251080300001,803
1251080400001,804
1251080500001,805
1251080600001,806
1251080800001,808
1251080900001,809
1251081000001,810
1251081100001,811
1251081700001,817
1251082100001,821
1251082300001,823
1251082600001,826
1251083200001,832
1251083500001,835
1251084400001,844
1251084800001,848
1251085100001,851
1251085200001,852
1251085200002,852
1251085300001,853
1251085300002,853
1251085400001,854
1251085500001,855
1251085600001,856
1251085700001,857
1251085800001,858
1251085900001,859
