route_id,agency_id,route_short_name,route_long_name,route_type,route_desc
9011014131100000-3540,505000000000000014,3540,Västtågen,100,
9011014131100000-3541,505000000000000014,3541,Västtågen,100,
9011014131100000-3542,505000000000000014,3542,Västtågen,100,
9011014131100000-3543,505000000000000014,3543,Västtågen,100,
9011014131100000-3544,505000000000000014,3544,Västtågen,100,
9011014131100000-3545,505000000000000014,3545,Västtågen,100,
9011014131100000-3546,505000000000000014,3546,Västtågen,100,
9011014131100000-3547,505000000000000014,3547,Västtågen,100,
9011014131100000-3548,505000000000000014,3548,Västtågen,100,
9011014131100000-3549,505000000000000014,3549,Västtågen,100,
9011014131100000-3550,505000000000000014,3550,Västtågen,100,
9011014131100000-3551,505000000000000014,3551,Västtågen,100,
9011014131100000-3552,505000000000000014,3552,Västtågen,100,
9011014131100000-3553,505000000000000014,3553,Västtågen,100,
9011014131100000-3554,505000000000000014,3554,Västtågen,100,
9011014131100000-3555,505000000000000014,3555,Västtågen,100,
9011014131100000-3556,505000000000000014,3556,Västtågen,100,
9011014131100000-3557,505000000000000014,3557,Västtågen,100,
9011014131100000-3558,505000000000000014,3558,Västtågen,100,
9011014131100000-3559,505000000000000014,3559,Västtågen,100,
9011014131100000-3560,505000000000000014,3560,Västtågen,100,
9011014131100000-3561,505000000000000014,3561,Västtågen,100,
9011014131100000-3562,505000000000000014,3562,Västtågen,100,
9011014131100000-3563,505000000000000014,3563,Västtågen,100,
9011014131100000-3564,505000000000000014,3564,Västtågen,100,
9011014131100000-3565,505000000000000014,3565,Västtågen,100,
9011014131100000-3566,505000000000000014,3566,Västtågen,100,
9011014131100000-3567,505000000000000014,3567,Västtågen,100,
9011014131100000-3568,505000000000000014,3568,Västtågen,100,
9011014131100000-3569,505000000000000014,3569,Västtågen,100,
9011014131100000-3570,505000000000000014,3570,Västtågen,100,
9011014131100000-3571,505000000000000014,3571,Västtågen,100,
9011014131100000-3572,505000000000000014,3572,Västtågen,100,
9011014131100000-3573,505000000000000014,3573,Västtågen,100,
9011014131100000-3574,505000000000000014,3574,Västtågen,100,
9011014131100000-3575,505000000000000014,3575,Västtågen,100,
9011014131100000-3576,505000000000000014,3576,Västtågen,100,
9011014131100000-3577,505000000000000014,3577,Västtågen,100,
9011014131100000-3578,505000000000000014,3578,Västtågen,100,
9011014131100000-3579,505000000000000014,3579,Västtågen,100,
9011014131100000-3580,505000000000000014,3580,Västtågen,100,
9011014131100000-3581,505000000000000014,3581,Västtågen,100,
9011014131100000-3582,505000000000000014,3582,Västtågen,100,
9011014131100000-3583,505000000000000014,3583,Västtågen,100,
9011014131100000-3584,505000000000000014,3584,Västtågen,100,
9011014131100000-3585,505000000000000014,3585,Västtågen,100,
9011014131100000-3586,505000000000000014,3586,Västtågen,100,
9011014131100000-3587,505000000000000014,3587,Västtågen,100,
9011014131100000-3588,505000000000000014,3588,Västtågen,100,
9011014131100000-3589,505000000000000014,3589,Västtågen,100,
9011014131100000-3590,505000000000000014,3590,Västtågen,100,
9011014131100000-3591,505000000000000014,3591,Västtågen,100,
9011014131100000-3592,505000000000000014,3592,Västtågen,100,
9011014131100000-3593,505000000000000014,3593,Västtågen,100,
9011014131100000-3594,505000000000000014,3594,Västtågen,100,
9011014132100000,505000000000000014,3000,Västtågen,100,
9011014132100000-3001,505000000000000014,3001,Västtågen,100,
9011014132100000-3002,505000000000000014,3002,Västtågen,100,
9011014132100000-3003,505000000000000014,3003,Västtågen,100,
9011014132100000-3004,505000000000000014,3004,Västtågen,100,
9011014132100000-3005,505000000000000014,3005,Västtågen,100,
9011014132100000-3006,505000000000000014,3006,Västtågen,100,
9011014132100000-3009,505000000000000014,3009,Västtågen,100,
9011014132100000-3010,505000000000000014,3010,Västtågen,100,
9011014132100000-3013,505000000000000014,3013,Västtågen,100,
9011014132100000-3014,505000000000000014,3014,Västtågen,100,
9011014132100000-3018,505000000000000014,3018,Västtågen,100,
