area_id,stop_id
740000426,426
740000427,427
740000427,32192
740000428,428
740000429,429
740000431,70333
740000432,432
740000433,433
740000434,434
740000435,435
740000436,436
740000437,437
740000438,438
740000439,439
740000440,440
740000441,441
740000442,442
740000443,59171
740000443,443
740000444,444
740000445,445
740000446,446
740000447,447
740000448,448
740000449,449
740000450,450
740000451,451
740000452,452
740000453,453
740000454,454
740000455,455
740000456,456
740000458,458
740000460,460
740000462,462
740000462,48000
740000463,463
740000464,464
740000465,59151
740000466,466
740000467,467
740000468,468
740000469,469
740000470,470
740000471,471
740000472,472
740000472,45988
740000473,59190
740000474,474
740000475,475
740000476,476
740000477,477
740000478,478
740000479,59148
740000480,480
740000481,481
740000482,59167
740000483,483
740000484,484
740000485,485
740000486,486
740000488,488
740000489,489
740000490,490
740000491,491
740000492,59150
740000493,493
740000495,495
740000496,496
740000497,497
740000498,498
740000499,499
740000500,500
740000501,501
740000502,502
740000503,503
740000504,504
740000505,505
740000506,506
740000507,507
740000508,508
740000510,59162
740000511,511
740000512,512
740000513,513
740000514,514
740000515,515
740000516,516
740000517,517
740000518,518
740000519,519
740000520,520
740000521,521
740000522,522
740000523,523
740000524,524
740000525,525
740000526,526
740000527,527
740000529,529
740000530,530
740000531,531
740000532,532
740000533,533
740000535,65659
740000536,536
740000537,537
740000538,538
740000539,539
740000540,540
740000541,541
740000542,542
740000543,543
740000544,544
740000545,545
740000546,546
740000546,32354
740000547,59194
740000548,548
740000549,549
740000550,550
740000551,551
740000552,552
740000553,553
740000553,34417
740000554,554
740000555,555
740000555,71646
740000556,556
740000557,557
740000558,558
740000559,559
740000561,561
740000564,564
740000567,567
740000569,569
740000569,71470
740000569,71661
740000570,570
740000571,571
740000572,572
740000573,573
740000574,574
740000575,575
740000576,576
740000577,577
740000578,578
740000579,579
740000580,580
740000581,581
740000582,582
740000583,583
740000584,584
740000585,585
740000587,587
740000588,588
740000589,589
740000590,590
740000591,591
740000592,592
740000593,593
740000594,594
740000596,596
740000597,597
740000598,598
740000599,599
740000600,600
740000601,601
740000602,602
740000603,66744
740000604,604
740000605,605
740000606,606
740000607,607
740000607,18309
740000608,608
740000609,609
740000610,610
740000610,69854
740000611,611
