stop_id,trafikverket_signature
740001410,STJE
740001411,OL
740001412,BDB
740001413,IBE
740001414,IMR
740001415,EBK
740001417,ÖJR
740001419,FRÅ
740001420,TGS
740001421,GTA
740001422,LEN
740001423,BUK
740001424,LRT
740001425,ÅS
740001426,KNL
740001428,HÅL
740001429,BGV
740001431,MLÖ
740001432,KJÅ
740001433,LÅK
740001434,KÅ
740001436,SOA
740001437,SJKA
740001441,BL
740001443,BRIN
740001456,FDF
740001459,GSÅ
740001463,GVE
740001467,HE
740001480,KD
740001483,ÖVN
740001486,MPB
740001499,SPK
740001507,TÖE
740001520,ÅB
740001521,ÄSB
740001522,ÄL
740001531,LOKA
740001532,SIF
740001533,BRÖ
740001534,ULY
740001535,SLNÄ
740001536,ÖBL
740001537,BÅA
740001538,RFB
740001539,VKÄ
740001540,APO
740001542,MIA
740001543,ÖDA
740001544,KA
740001545,KON
740001546,STP
740001547,HÄP
740001549,AVS
740001550,NML
740001551,STN
740001552,SVC
740001553,FSB
740001554,LKÖ
740001555,GAN
740001556,TGP
740001557,RYÄ
740001558,GLV
740001559,LSE
740001560,ID
740001563,TSÅ
740001564,ÄN
740001565,MLGG
740001566,HEM
740001567,SR
740001568,ACM
740001569,ÖKN
740001570,ÖK
740001573,MEH
740001574,VAS
740001575,LÅÖ
740001576,FSD
740001577,KBT
740001578,ÄBY
740001578,ÄKB
740001579,FABP
740001581,UÅÖ
740001582,HÖF
740001583,NOG
740001584,HUM
740001586,HIE
740001587,TRI
740001589,VÄY
740001590,GAS
740001591,LES
740001600,BHS
740001601,SUE
740001602,KMB
740001603,BÅN
740001604,ÅSA
740001605,KR
740001606,ÖND
740001607,FKI
740001608,BJM
740001609,TVÄ
740001610,KVI
740001611,TÖ
740001612,FÖR
740001613,BAA
740001614,ÖG
740001615,VID
740001616,MAR
740001617,SCI
740001618,SOD
740001619,SKRT
740001620,KLX
740001621,ROG
740001622,NJB
740002953,NVN
740004050,GP
740004098,HYL
740004401,ÅGA
