shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4393900000000000839,58.176100,13.553793,3,
4393900000000000839,57.708894,11.973478,4,
4393900000000000839,56.669271,12.864841,5,
4393900000000000839,55.708098,13.186900,6,
4393900000000000839,55.609458,13.000913,7,
4393900000000000839,55.629571,12.648922,8,
4393900000000000839,55.401502,10.387004,9,
4393900000000000839,54.823654,9.358686,10,
4393900000000000839,53.553302,10.006403,11,
4393900000000000839,52.525000,13.370007,12,
4393900000000000892,59.330139,18.058155,1,
4393900000000000892,58.596626,16.183346,2,
4393900000000000892,58.416635,15.624963,3,
4393900000000000892,57.652439,14.693982,4,
4393900000000000892,56.898781,14.556318,5,
4393900000000000892,56.157759,13.763138,6,
4393900000000000892,55.609458,13.000913,7,
4393900000000000892,55.629571,12.648922,8,
4393900000000000892,55.401502,10.387004,9,
4393900000000000892,54.823654,9.358686,10,
4393900000000000892,53.553302,10.006403,11,
4393900000000000892,52.525000,13.370007,12,
4393900000000000893,59.330139,18.058155,1,
4393900000000000893,58.596626,16.183346,2,
4393900000000000893,58.416635,15.624963,3,
4393900000000000893,57.652439,14.693982,4,
4393900000000000893,56.898781,14.556318,5,
4393900000000000893,56.157759,13.763138,6,
4393900000000000893,55.609458,13.000913,7,
4393900000000000893,55.629571,12.648922,8,
4393900000000000893,55.401502,10.387004,9,
4393900000000000893,54.823654,9.358686,10,
4393900000000000893,53.553302,10.006403,11,
4393900000000000893,52.525000,13.370007,12,
4393900000000000032,52.525000,13.370007,1,
4393900000000000032,53.553302,10.006403,2,
4393900000000000032,54.823654,9.358686,3,
4393900000000000032,55.401502,10.387004,4,
4393900000000000032,55.629571,12.648922,5,
4393900000000000032,55.609458,13.000913,6,
4393900000000000032,55.708098,13.186900,7,
4393900000000000032,56.157759,13.763138,8,
4393900000000000032,56.898781,14.556318,9,
4393900000000000032,57.652439,14.693982,10,
4393900000000000032,58.416635,15.624963,11,
4393900000000000032,58.596626,16.183346,12,
4393900000000000032,59.330139,18.058155,13,
4393900000000000033,52.525000,13.370007,1,
4393900000000000033,53.553302,10.006403,2,
4393900000000000033,54.823654,9.358686,3,
4393900000000000033,55.401502,10.387004,4,
4393900000000000033,55.629571,12.648922,5,
4393900000000000033,55.609458,13.000913,6,
4393900000000000033,55.708098,13.186900,7,
4393900000000000033,56.157759,13.763138,8,
4393900000000000033,56.898781,14.556318,9,
4393900000000000033,57.652439,14.693982,10,
4393900000000000033,58.416635,15.624963,11,
4393900000000000033,58.596626,16.183346,12,
4393900000000000033,59.330139,18.058155,13,
4393900000000000034,52.549020,13.389851,1,
4393900000000000034,53.553302,10.006403,2,
4393900000000000034,54.823654,9.358686,3,
4393900000000000034,55.401502,10.387004,4,
4393900000000000034,55.629571,12.648922,5,
4393900000000000034,55.609458,13.000913,6,
4393900000000000034,55.708098,13.186900,7,
4393900000000000034,56.157759,13.763138,8,
4393900000000000034,56.898781,14.556318,9,
4393900000000000034,57.652439,14.693982,10,
4393900000000000034,58.416635,15.624963,11,
4393900000000000034,58.596626,16.183346,12,
4393900000000000034,59.330139,18.058155,13,
4393900000000000035,52.549020,13.389851,1,
4393900000000000035,53.553302,10.006403,2,
4393900000000000035,54.823654,9.358686,3,
4393900000000000035,55.401502,10.387004,4,
4393900000000000035,55.629571,12.648922,5,
4393900000000000035,55.609458,13.000913,6,
4393900000000000035,55.708098,13.186900,7,
4393900000000000035,56.157759,13.763138,8,
4393900000000000035,56.898781,14.556318,9,
4393900000000000035,57.652439,14.693982,10,
4393900000000000035,58.416635,15.624963,11,
4393900000000000035,58.596626,16.183346,12,
4393900000000000035,59.330139,18.058155,13,
4393900000000000603,52.525000,13.370007,1,
4393900000000000603,0,0,2,
4393900000000000603,54.823654,9.358686,3,
4393900000000000603,55.401502,10.387004,4,
4393900000000000603,55.629571,12.648922,5,
4393900000000000603,55.609458,13.000913,6,
4393900000000000603,55.708098,13.186900,7,
4393900000000000603,56.157759,13.763138,8,
4393900000000000603,56.898781,14.556318,9,
4393900000000000603,57.652439,14.693982,10,
4393900000000000603,58.416635,15.624963,11,
4393900000000000603,58.596626,16.183346,12,
4393900000000000603,59.330139,18.058155,13,
4393900000000000604,52.525000,13.370007,1,
4393900000000000604,0,0,2,
